<svg width="200" height="200" viewBox="-100 -100 200 200">
  <circle cx="0" cy="0" r="80" fill="yellow" />
  <line x1="0" y1="-90" x2="0" y2="-70" stroke="#FEE440" stroke-width="6" />
  <line x1="0" y1="-70" x2="0" y2="-50" stroke="#FEE440" stroke-width="6" />
  <line x1="0" y1="-50" x2="0" y2="-30" stroke="#FEE440" stroke-width="6" />
  <line x1="0" y1="-30" x2="0" y2="-10" stroke="#FEE440" stroke-width="6" />

  <line x1="-70" y1="-70" x2="-50" y2="-50" stroke="#FEE440" stroke-width="6" />
  <line x1="-50" y1="-70" x2="-30" y2="-50" stroke="#FEE440" stroke-width="6" />
  <line x1="-50" y1="-50" x2="-30" y2="-30" stroke="#FEE440" stroke-width="6" />

  <line x1="70" y1="-70" x2="50" y2="-50" stroke="#FEE440" stroke-width="6" />
  <line x1="50" y1="-70" x2="30" y2="-50" stroke="#FEE440" stroke-width="6" />
  <line x1="50" y1="-50" x2="30" y2="-30" stroke="#FEE440" stroke-width="6" />

  <line x1="-90" y1="0" x2="-70" y2="0" stroke="#FEE440" stroke-width="6" />
  <line x1="-70" y1="0" x2="-50" y2="0" stroke="#FEE440" stroke-width="6" />

  <line x1="70" y1="0" x2="50" y2="0" stroke="#FEE440" stroke-width="6" />
  <line x1="50" y1="0" x2="30" y2="0" stroke="#FEE440" stroke-width="6" />

  <line x1="-70" y1="70" x2="-50" y2="50" stroke="#FEE440" stroke-width="6" />
  <line x1="-50" y1="70" x2="-30" y2="50" stroke="#FEE440" stroke-width="6" />
  <line x1="-50" y1="50" x2="-30" y2="30" stroke="#FEE440" stroke-width="6" />

  <line x1="70" y1="70" x2="50" y2="50" stroke="#FEE440" stroke-width="6" />
  <line x1="50" y1="70" x2="30" y2="50" stroke="#FEE440" stroke-width="6" />
  <line x1="50" y1="50" x2="30" y2="30" stroke="#FEE440" stroke-width="6" />

  <line x1="0" y1="90" x2="0" y2="70" stroke="#FEE440" stroke-width="6" />
  <line x1="0" y1="70" x2="0" y2="50" stroke="#FEE440" stroke-width="6" />
  <line x1="0" y1="50" x2="0" y2="30" stroke="#FEE440" stroke-width="6" />
  <line x1="0" y1="30" x2="0" y2="10" stroke="#FEE440" stroke-width="6" />
</svg>
