<svg width="500" height="500">
  <rect x="50" y="50" width="400" height="400" fill="#00AEEF" />
  <rect x="75" y="75" width="350" height="350" fill="#FFFFFF" />
  <rect x="100" y="100" width="50" height="50" fill="#FFC20E" />
  <rect x="175" y="100" width="50" height="50" fill="#FFC20E" />
  <rect x="250" y="100" width="50" height="50" fill="#FFC20E" />
  <rect x="325" y="100" width="50" height="50" fill="#FFC20E" />
  <rect x="100" y="175" width="50" height="50" fill="#FFC20E" />
  <rect x="175" y="175" width="50" height="50" fill="#FFC20E" />
  <rect x="250" y="175" width="50" height="50" fill="#FFC20E" />
  <rect x="325" y="175" width="50" height="50" fill="#FFC20E" />
  <rect x="100" y="250" width="50" height="50" fill="#FFC20E" />
  <rect x="175" y="250" width="50" height="50" fill="#FFC20E" />
  <rect x="250" y="250" width="50" height="50" fill="#FFC20E" />
  <rect x="325" y="250" width="50" height="50" fill="#FFC20E" />
  <rect x="100" y="325" width="50" height="50" fill="#FFC20E" />
  <rect x="175" y="325" width="50" height="50" fill="#FFC20E" />
  <rect x="250" y="325" width="50" height="50" fill="#FFC20E" />
  <rect x="325" y="325" width="50" height="50" fill="#FFC20E" />
</svg>
