<svg width="200" height="200" viewBox="-100 -100 200 200">
  <rect x="-80" y="-60" width="160" height="20" fill="#000000" />
  <rect x="-75" y="-80" width="150" height="20" fill="#000000" />
  <rect x="-70" y="-100" width="140" height="20" fill="#000000" />
  <rect x="-65" y="-120" width="130" height="20" fill="#000000" />
  <rect x="-60" y="-140" width="120" height="20" fill="#000000" />
  <rect x="-55" y="-160" width="110" height="20" fill="#000000" />
  <rect x="-50" y="-180" width="100" height="20" fill="#000000" />
  <rect x="-45" y="-200" width="90" height="20" fill="#000000" />
  <rect x="-40" y="-220" width="80" height="20" fill="#000000" />
  <rect x="-35" y="-240" width="70" height="20" fill="#000000" />
  <rect x="-30" y="-260" width="60" height="20" fill="#000000" />
  <rect x="-25" y="-280" width="50" height="20" fill="#000000" />
  <rect x="-20" y="-300" width="40" height="20" fill="#000000" />
  <rect x="-15" y="-320" width="30" height="20" fill="#000000" />
  <rect x="-10" y="-340" width="20" height="20" fill="#000000" />
  <rect x="-5" y="-360" width="10" height="20" fill="#000000" />
  <rect x="15" y="-360" width="10" height="20" fill="#000000" />
  <rect x="35" y="-360" width="10" height="20" fill="#000000" />
  <rect x="55" y="-360" width="10" height="20" fill="#000000" />
</svg>
