Here is an example of a very simplified 10x10 image of a stick figure on a white background:

[ (255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(0, 0, 0)(0, 0, 0)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255) ]
[ (255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(0, 0, 0)(0, 0, 0)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255) ]
[ (255, 255, 255)(255, 255, 255)(255, 255, 255)(0, 0, 0)(255, 255, 255)(255, 255, 255)(0, 0, 0)(255, 255, 255)(255, 255, 255)(255, 255, 255) ]
[ (255, 255, 255)(255, 255, 255)(255, 255, 255)(0, 0, 0)(255, 255, 255)(255, 255, 255)(0, 0, 0)(255, 255, 255)(255, 255, 255)(255, 255, 255) ]
[ (255, 255, 255)(255, 255, 255)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(255, 255, 255)(255, 255, 255)(255, 255, 255) ]
[ (255, 255, 255)(255, 255, 255)(255, 255, 255)(0, 0, 0)(255, 255, 255)(255, 255, 255)(0, 0, 0)(255, 255, 255)(255, 255, 255)(255, 255, 255) ]
[ (255, 255, 255)(255, 255, 255)(0, 0, 0)(255, 255, 255)(0, 0, 0)(255, 255, 255)(0, 0, 0)(255, 255, 255)(255, 255, 255)(255, 255, 255) ]
[ (255, 255, 255)(0, 0, 0)(0, 0, 0)(0, 0, 0)(255, 255, 255)(0, 0, 0)(0, 0, 0)(0, 0, 0)(255, 255, 255)(255, 255, 255) ]
[ (255, 255, 255)(0, 0, 0)(255, 255, 255)(0, 0, 0)(255, 255, 255)(0, 0, 0)(255, 255, 255)(0, 0, 0)(255, 255, 255)(255, 255, 255) ]
[ (255, 255, 255)(255, 255, 255)(0, 0, 0)(0, 0, 0)(255, 255, 255)(0, 0, 0)(0, 0, 0)(255, 255, 255)(255, 255, 255)(255, 255, 255) ]

In this pixel representation, the black pixels form the shape of a stick figure: two pixels for the head, two for the body, two for the arms, and four for the legs.
